StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q1-1,Q1-2,Q2-2-a_1,Q28_1,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q2-3,Q2-4-1,Q2-4-2_10,Q2-4-2_11,Q2-4-2_12,Q2-4-2_13,Q2-4-2_14,Q2-4-2_15,Q2-4-2_16,Q2-4-3_1,Q2-4-3_2,Q2-4-3_13,Q2-4-3_3,Q2-4-3_4,Q2-4-3_5,Q2-4-3_6,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q4-1-1,Q4-1-2,Q4-1-3_1,Q4-1-3_2,Q4-1-3_13,Q4-1-3_3,Q4-1-3_4,Q4-1-3_5,Q4-1-3_6,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_15,Q26_16,Q27_1,Q27_2,Q27_13,Q27_3,Q27_4,Q27_5,Q27_6,Q27_14,Q27_15,Q27_16,Q27_17,Q27_18,Q27_19,Q27_20,Q4-1-4_7,Q4-2-1,Q4-2-2,Q2-1-1,Q2-1-1_4_TEXT,Q2-1-2,Q2-1-2_3_TEXT,Q2-1-3,intent,Group,solutionOneEmpty,solutionTwoEmpty,solutionThreeEmpty,solutionFourEmpty,solutionFiveEmpty,solutionSixEmpty,solutionSevenEmpty,newSolutionOneEmpty,newSolutionTwoEmpty,newSolutionThreeEmpty,newSolutionFourEmpty,newSolutionFiveEmpty,newSolutionSixEmpty,newSolutionSevenEmpty
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter you  unique Prolific ID.,"We would like you to think of a specific problem in your life that you has been on your mind lately. This could be a problem in the present or the past, but it should be a problem that has not yet been solved. It could be a problem about a relationship, your career, or anything else.  Are you able to think of such a problem?","If you can't think of a present problem, is there a problem from your past that you have been thinking about recently?","As part of the study, we are researching how different methods can help people solve their personal problems. Previous research has shown that the level of intention people bring to this process is important.

On a scale of 1-5, how strong is your intention of using the following process to help you solve your problem?1 = ""I have no intention of using the method in this experiment to help me solve my problem""5 = ""I fully intend to use the method in this experiment to help me solve my problem"" - 1","As part of the study, we are researching how different methods can help people solve their personal problems.In this experiment, you will be asked to apply one of these methods to your problem. 
On a scale of 1-5, how strong is your intention to use the method that follows to help you solve your problem?1 = ""I have no intention of using the method in this experiment to help me solve my problem""5 = ""I fully intend to use the method in this experiment to help me solve my problem"" - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please summarise your problem briefly in a few sentences below.,Have you identified and considered any possible solutions to your problem?,"In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 1","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 2","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 3","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 4","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 5","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 6","In the boxes below, please summarise (in 10 words or less) all the possible solutions that you have considered. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 7",Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 1: [QID45-ChoiceTextEntryValue-10],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 2: [QID45-ChoiceTextEntryValue-11],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 3: [QID45-ChoiceTextEntryValue-12],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 4: [QID45-ChoiceTextEntryValue-13],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 5: [QID45-ChoiceTextEntryValue-14],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 6: [QID45-ChoiceTextEntryValue-15],Please rate each one of your solutions based on your perception of its pros and cons (1 star = least desirable / 10 stars = most desirable). - Solution 7: [QID45-ChoiceTextEntryValue-16],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly describe your problem in a few sentences again, but this time in relation to any thoughts you had in the last few minutes.",Did you come up with any new solutions to your problem?,"Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 1: [QID45-ChoiceTextEntryValue-10]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-1]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 2: [QID45-ChoiceTextEntryValue-11]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-2]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 3: [QID45-ChoiceTextEntryValue-12]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-3]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 4: [QID45-ChoiceTextEntryValue-13]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-4]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 5: [QID45-ChoiceTextEntryValue-14]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-5]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 6: [QID45-ChoiceTextEntryValue-15]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-6]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Solution 7: [QID45-ChoiceTextEntryValue-16]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-7]","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 1","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 2","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 3","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 4","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 5","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 6","In the boxes below, please summarise (in 10 words or less) any new solutions that you identified or considered in the previous section. Once you have done so, please click next – you do not need to fill all seven boxes. - Solution 7","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 1: [QID45-ChoiceTextEntryValue-10]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-1]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 2: [QID45-ChoiceTextEntryValue-11]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-2]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 3: [QID45-ChoiceTextEntryValue-12]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-3]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 4: [QID45-ChoiceTextEntryValue-13]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-4]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 5: [QID45-ChoiceTextEntryValue-14]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-5]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 6: [QID45-ChoiceTextEntryValue-15]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-6]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - Old Solution 7: [QID45-ChoiceTextEntryValue-16]



Your previous rating of this solution: [QID57-ChoiceNumericEntryValue-7]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 1: [QID59-ChoiceTextEntryValue-10]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 2: [QID59-ChoiceTextEntryValue-11]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 3: [QID59-ChoiceTextEntryValue-12]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 4: [QID59-ChoiceTextEntryValue-13]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 5: [QID59-ChoiceTextEntryValue-14]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 6: [QID59-ChoiceTextEntryValue-15]","Now, please again rate each of your solutions (1 star = least desirable / 10 stars = most desirable) in relation to any thoughts you had in the last few minutes. - New Solution 7: [QID59-ChoiceTextEntryValue-16]","Thinking back, how strong would you rate your level of intention to use the method offered during this experiment to help solve your problem? (1 = very weak; 5 = very strong) Your previous answer is:  [QID29-ChoiceNumericEntryValue-1][QID61-ChoiceNumericEntryValue-1] - 7",Do you think the I Ching or another source of divination such as Tarot Cards could help a person clarify their own thinking?,"How many times have you used any kind of divination tools, such as the I-Ching or Tarot Cards?",What is your age (years)? - Selected Choice,What is your age (years)? - I am - Text,What's your gender? - Selected Choice,What's your gender? - Other (Please describe if you wish) - Text,What's your level of education?,intent,Group,solutionOneEmpty,solutionTwoEmpty,solutionThreeEmpty,solutionFourEmpty,solutionFiveEmpty,solutionSixEmpty,solutionSevenEmpty,newSolutionOneEmpty,newSolutionTwoEmpty,newSolutionThreeEmpty,newSolutionFourEmpty,newSolutionFiveEmpty,newSolutionSixEmpty,newSolutionSevenEmpty
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID6""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_10""}","{""ImportId"":""QID45_11""}","{""ImportId"":""QID45_12""}","{""ImportId"":""QID45_13""}","{""ImportId"":""QID45_14""}","{""ImportId"":""QID45_15""}","{""ImportId"":""QID45_16""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_13""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_13""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID58_6""}","{""ImportId"":""QID59_10""}","{""ImportId"":""QID59_11""}","{""ImportId"":""QID59_12""}","{""ImportId"":""QID59_13""}","{""ImportId"":""QID59_14""}","{""ImportId"":""QID59_15""}","{""ImportId"":""QID59_16""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_13""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_14""}","{""ImportId"":""QID60_15""}","{""ImportId"":""QID60_16""}","{""ImportId"":""QID60_17""}","{""ImportId"":""QID60_18""}","{""ImportId"":""QID60_19""}","{""ImportId"":""QID60_20""}","{""ImportId"":""QID50_7""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_4_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_3_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""intent""}","{""ImportId"":""Group""}","{""ImportId"":""solutionOneEmpty""}","{""ImportId"":""solutionTwoEmpty""}","{""ImportId"":""solutionThreeEmpty""}","{""ImportId"":""solutionFourEmpty""}","{""ImportId"":""solutionFiveEmpty""}","{""ImportId"":""solutionSixEmpty""}","{""ImportId"":""solutionSevenEmpty""}","{""ImportId"":""newSolutionOneEmpty""}","{""ImportId"":""newSolutionTwoEmpty""}","{""ImportId"":""newSolutionThreeEmpty""}","{""ImportId"":""newSolutionFourEmpty""}","{""ImportId"":""newSolutionFiveEmpty""}","{""ImportId"":""newSolutionSixEmpty""}","{""ImportId"":""newSolutionSevenEmpty""}"
2021-08-18 15:24:00,2021-08-18 15:25:02,IP Address,109.158.206.243,100,62,True,2021-08-18 15:25:02,R_Yad6pLBG78tKHQd,,,,,51.64849853515625,-0.7801055908203125,anonymous,EN,60bd6967c850b4089ad7d11e,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18 15:23:56,2021-08-18 15:26:42,IP Address,86.177.3.98,100,165,True,2021-08-18 15:26:43,R_1C25jpY0jFsJO3V,,,,,53.828094482421875,-1.689300537109375,anonymous,EN,5c0ca233632102000147c7db,Yes,,3,,1.591,23.066,24.266,6,i'm broke and need to find a job real soon,Yes,look for a job,start job,profit,,,,,5,6,9,,,,,,,,,31.706,31.706,32.753,1,1.214,10.702,11.27,3,i need a job,No,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Never,I am,35,Male,,Secondary education (e.g. GED/GCSE),,IChing,false,false,false,,,,,,,,,,,
2021-08-18 15:23:59,2021-08-18 15:27:39,IP Address,85.246.82.157,100,219,True,2021-08-18 15:27:39,R_T572AhCW2vH5VGV,,,,,38.687896728515625,-9.3621978759765625,anonymous,EN,60d1a73a8529ce78c2370c8a,Yes,,3,,1.252,40.056,40.584,2,"i got into a degree but i dont think i really enjoy it, and im struggling to tell that to my parents because im afraid of what they are going to say",Yes,I quit my degree and try something else,I keep doing what im studying,,,,,,5,8,,,,,,,,,,0,0,36.691,0,2.03,34.61,35.141,9,"I dont quite like what im studying, and i guess thats fine but i dont know what to tell my parents",No,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1-10 times,I am,21,Male,,Undergraduate degree (BA/BSc/other),,IChing,false,false,,,,,,,,,,,,
2021-08-18 15:24:03,2021-08-18 15:27:42,IP Address,79.136.31.179,100,219,True,2021-08-18 15:27:43,R_3emd1Epo3x84Ulo,,,,,65.63079833984375,22.0131988525390625,anonymous,EN,5ea96dffa01cad04cfea50c3,Yes,,5,,1.311,29.592,30.5,4,problem letting go to make mistakes and learn from them,Yes,"Break down barrier ",psychological help,help from other,,,,,8,6,6,,,,,,,,,27.272,27.272,40.538,1,2.918,26.689,27.491,5,is a big problem because i afraid to let go,No,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1-10 times,I am,34,Female,,Technical/community college,,IChing,false,false,false,,,,,,,,,,,
2021-08-18 15:24:02,2021-08-18 15:27:56,IP Address,68.163.50.6,100,233,True,2021-08-18 15:27:56,R_1C463MkZ2n8IjdO,,,,,39.935699462890625,-75.183197021484375,anonymous,EN,6100ad80209bd6d7eff3fcff,Yes,,,5,1.376,26.099,27.609,2,A friend of a friend was very rude to me and made me feel uncomfortable on purpose.,Yes,Tell my friend,Tell the girl who was mean,Don’t hang out with the mean girl again,Be meaner to her than she was to me,,,,10,6,8,8,,,,,,,,0,0,20.339,0,4.709,19.27,19.948,3,I know there is only one true path forward,No,10,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Never,I am,28,Female,,Undergraduate degree (BA/BSc/other),,IChing,false,false,false,false,,,,,,,,,,
2021-08-18 15:24:00,2021-08-18 15:27:56,IP Address,98.116.247.176,100,236,True,2021-08-18 15:27:57,R_1hzJunQPhM9vsoz,,,,,40.6764068603515625,-73.87529754638671875,anonymous,EN,60fb22ce3a5f8652a3d55705,Yes,,3,,1.532,79.377,80.832,2,"Great self doubt. I'm currently a computer science student and I just feel like everyone else is better than me. No matter how much I learn and get better at programming I just keep putting myself down because I know there are people better than me, and this makes me worried about my future job prospects",No,,,,,,,,,,,,,,,,,,,0,0,40.001,0,6.528,42.612,43.576,2,I doubt my own intelligence because there are people who know far more than me in my respective line of work and it makes me worried about my future job prospects,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Never,I am,18,Male,,High school diploma/A-levels,,IChing,,,,,,,,,,,,,,
2021-08-18 15:24:02,2021-08-18 15:28:03,IP Address,82.28.174.165,100,240,True,2021-08-18 15:28:03,R_2af3o7iyeVrxPkf,,,,,55.86700439453125,-4.2621002197265625,anonymous,EN,5c6de2ba2bdd040001d6b293,Yes,,,3,1.468,57.137,58.513,2,"yesterday I was screamed at by my manager at work, this has been happening for quite some time and I feel I get discriminated and harassed ",No,,,,,,,,,,,,,,,,,,,0,0,67.087,0,1.351,27.776,65.467,6,"I am getting verbally harassed at work by my manager
I try to be patient because I dont plan on staying in this job for long but it is emotionally draining ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Never,I am,25,Female,,Graduate degree (MA/MSc/MPhil/other),,IChing,,,,,,,,,,,,,,
2021-08-18 15:24:03,2021-08-18 15:28:33,IP Address,87.75.80.200,100,269,True,2021-08-18 15:28:33,R_3oMwkjhuxdXf3Ge,,,,,55.9552001953125,-3.1999969482421875,anonymous,EN,5bed3079fa1ac70001baa7ad,Yes,,,5,2.436,39.082,39.819,2,I worked abroad when I was married and my wife hated me being away leading to a divorce,Yes,Could have stayed,Could have worked harder to bring her over,Could have made more effort to stay in touch,,,,,8,9,10,,,,,,,,,0,0,49.074,0,2.088,40.995,41.663,4,I was away working and it caused my marriage to fall apart because I didn't put the work in to keep it together,Yes,,,,,,,,Could have talked it over with her family,,,,,,,8,9,10,,,,,7,,,,,,,,Yes,More than 10 times,I am,41,Male,,Undergraduate degree (BA/BSc/other),,IChing,false,false,false,,,,,false,,,,,,
